"id","message","attribute","group","metric","value","threshold","severity","created_at"
"1","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.4280559","0.5","Medium","""2026-04-25T14:06:44.813Z"""
"2","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.45162606","0.5","Medium","""2026-04-23T22:57:20.524Z"""
"3","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.5001909","0.5","High","""2026-04-29T04:27:36.460Z"""
"4","Bias detected for Other/Rural applicant — low severity","location","Rural","Disparate Impact","0.39955327","0.5","Low","""2026-04-22T23:29:29.298Z"""
"5","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.45034143","0.5","High","""2026-04-26T04:30:07.099Z"""
"6","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.44408202","0.5","High","""2026-04-25T00:55:34.735Z"""
"7","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.4722769","0.5","Medium","""2026-04-25T04:05:02.857Z"""
"8","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.50573856","0.5","High","""2026-04-28T10:49:40.745Z"""
"9","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.34146908","0.5","Medium","""2026-04-27T17:30:10.411Z"""
"10","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.51662654","0.5","High","""2026-04-23T00:17:47.517Z"""
"11","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.3698794","0.5","High","""2026-04-24T23:10:34.954Z"""
"12","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.35846674","0.5","High","""2026-04-27T23:20:33.094Z"""
"13","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.45056194","0.5","High","""2026-04-25T09:09:28.616Z"""
"14","Bias detected for Male/Rural applicant — high severity","location","Rural","Disparate Impact","0.40303823","0.5","High","""2026-04-25T20:13:49.506Z"""
"15","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.40117827","0.5","High","""2026-04-23T09:43:51.208Z"""
"16","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.51092833","0.5","Medium","""2026-04-26T23:02:01.895Z"""
"17","Bias detected for Other/Rural applicant — medium severity","location","Rural","Disparate Impact","0.3388157","0.5","Medium","""2026-04-25T10:30:42.553Z"""
"18","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.38842735","0.5","High","""2026-04-26T01:00:39.788Z"""
"19","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.47629628","0.5","Medium","""2026-04-29T05:29:07.383Z"""
"20","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.48521563","0.5","High","""2026-04-26T13:53:17.171Z"""
"21","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.332916","0.5","High","""2026-04-25T04:28:35.113Z"""
"22","Bias detected for Male/Rural applicant — high severity","location","Rural","Disparate Impact","0.34118503","0.5","High","""2026-04-22T14:14:05.847Z"""
"23","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.35298783","0.5","High","""2026-04-28T02:54:47.441Z"""
"24","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.369779","0.5","High","""2026-04-25T20:23:56.800Z"""
"25","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.38991347","0.5","High","""2026-04-28T16:25:43.074Z"""
"26","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.47877675","0.5","Medium","""2026-04-28T14:09:59.383Z"""
"27","Bias detected for Other/Rural applicant — medium severity","location","Rural","Disparate Impact","0.46476725","0.5","Medium","""2026-04-27T11:34:40.939Z"""
"28","Bias detected for Other/Rural applicant — medium severity","location","Rural","Disparate Impact","0.5103914","0.5","Medium","""2026-04-23T12:55:19.450Z"""
"29","Bias detected for Other/Rural applicant — low severity","location","Rural","Disparate Impact","0.4081654","0.5","Low","""2026-04-26T14:10:03.090Z"""
"30","Bias detected for Female/Urban applicant — high severity","gender","Female","Disparate Impact","0.48353788","0.5","High","""2026-04-27T10:02:42.106Z"""
"31","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.46002695","0.5","High","""2026-04-23T19:57:42.892Z"""
"32","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.41604444","0.5","High","""2026-04-24T12:26:46.114Z"""
"33","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.37681204","0.5","Medium","""2026-04-25T05:28:49.293Z"""
"34","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.39345405","0.5","High","""2026-04-27T14:13:34.471Z"""
"35","Bias detected for Male/Rural applicant — medium severity","location","Rural","Disparate Impact","0.46338487","0.5","Medium","""2026-04-24T15:46:39.582Z"""
"36","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.48481226","0.5","Medium","""2026-04-22T12:37:06.032Z"""
"37","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.36790884","0.5","Medium","""2026-04-25T11:03:56.162Z"""
"38","Bias detected for Male/Rural applicant — medium severity","location","Rural","Disparate Impact","0.35515156","0.5","Medium","""2026-04-24T10:02:26.058Z"""
"39","Bias detected for Male/Rural applicant — high severity","location","Rural","Disparate Impact","0.51873046","0.5","High","""2026-04-22T06:57:08.705Z"""
"40","Bias detected for Male/Rural applicant — medium severity","location","Rural","Disparate Impact","0.36203855","0.5","Medium","""2026-04-23T23:36:21.952Z"""
"41","Bias detected for Female/Rural applicant — high severity","gender","Female","Disparate Impact","0.38688904","0.5","High","""2026-04-28T21:01:54.661Z"""
"42","Bias detected for Male/Rural applicant — medium severity","location","Rural","Disparate Impact","0.45425907","0.5","Medium","""2026-04-28T13:20:34.799Z"""
"43","Bias detected for Male/Rural applicant — medium severity","location","Rural","Disparate Impact","0.42326316","0.5","Medium","""2026-04-26T14:27:55.915Z"""
"44","Bias detected for Other/Rural applicant — medium severity","location","Rural","Disparate Impact","0.46239617","0.5","Medium","""2026-04-24T13:35:56.520Z"""
"45","Bias detected for Male/Rural applicant — medium severity","location","Rural","Disparate Impact","0.31666386","0.5","Medium","""2026-04-23T03:16:13.633Z"""
"46","Bias detected for Other/Rural applicant — low severity","location","Rural","Disparate Impact","0.51092947","0.5","Low","""2026-04-27T06:32:01.678Z"""
"47","Bias detected for Female/Suburban applicant — medium severity","gender","Female","Disparate Impact","0.38289833","0.5","Medium","""2026-04-24T19:34:23.652Z"""
"48","Bias detected for Male/Rural applicant — high severity","location","Rural","Disparate Impact","0.45048457","0.5","High","""2026-04-25T03:36:53.082Z"""
"49","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6259779","0.5","Medium","""2026-04-29T06:44:25.104Z"""
"50","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6094498","0.5","Medium","""2026-04-29T06:44:33.940Z"""
"51","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6094498","0.5","Medium","""2026-04-29T06:44:35.839Z"""
"52","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6094498","0.5","Medium","""2026-04-29T06:44:47.706Z"""
"53","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6445116","0.5","Medium","""2026-04-29T06:45:06.684Z"""
"54","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.29702604","0.5","Medium","""2026-04-29T06:47:16.914Z"""
"55","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.29449537","0.5","Medium","""2026-04-29T06:51:08.417Z"""
"56","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6259779","0.5","Medium","""2026-04-29T06:51:22.006Z"""
"57","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.29702604","0.5","Medium","""2026-04-29T07:12:30.080Z"""
"58","Bias detected for Female/Urban applicant — medium severity","gender","Female","Disparate Impact","0.6259779","0.5","Medium","""2026-04-29T07:12:57.596Z"""